STATION_LINE,DAILY_ENTRIES,MIN_HOSP_DIST
PARK PLACE-23ACE,4101.411765,2
AVENUE P-F,4036.019608,3
BOROUGH HALL-R2345,3998.712418,4
BRONX PARK EAST-25,3975.660131,5
LIBERTY AV-C,3967.640523,6
138/GRAND CONC-45,3930.653595,7
104 ST-JZ,3916.189542,8
FLUSHING AV-G,3862.215686,9
AVENUE X-F,3770.705882,10
JUNIUS ST-3,3684.699346,11
GUN HILL RD-5,3668.941176,12
MORRIS PARK-5,3592.215686,13
121 ST-JZ,3546.895425,14
BEACH 67 ST-A,3503.980392,15
ALABAMA AV-J,3479.261438,16
W 8 ST-AQUARIUM-FQ,3447.673203,17
111 ST-J,3382.150327,1
55 ST-D,3305.228758,2
AVENUE I-F,3292.490196,3
BUSHWICK AV-L,3178.071895,4
AVENUE U-F,3123.581699,5
MIDDLETOWN RD-6,3111.934641,6
WHITLOCK AV-6,3082.424837,7
BEACH 60 ST-A,2953.267974,8
21 ST-G,2776.529412,9
BEACH 25 ST-A,2719.973856,10
104 ST-A,2702.921569,11
PARK PLACE-S,2658.137255,12
215 ST-1,2643.947712,13
AQUEDUCT RACETR-A,2632.026144,14
ATLANTIC AV-L,2520.594771,15
CYPRESS HILLS-J,2379.620915,16
NEPTUNE AV-F,2356.477124,17
BOTANIC GARDEN-S2345,2175.150327,1
BAY PKWY-F,2093.69281,2
E 143/ST MARY'S-6,1822.346405,3
NEWARK HM HE-1,1808.934641,4
BEACH 36 ST-A,1545.51634,5
BEACH 90 ST-AS,1381.156863,6
AQUEDUCT N.COND-A,1344.150327,7
BEACH 44 ST-A,1121.614379,8
ROCKAWAY PARK B-AS,1027.405229,9
TOMPKINSVILLE-1,953.9019608,10
BEACH 98 ST-AS,663.3398693,11
BROAD CHANNEL-AS,452.5294118,12
BEACH 105 ST-AS,314.0261438,13
